Отметка времени,Возраст,Пол,Город,Position,Опыт работы в Европе (сколько лет),Опыт работы в целом (сколько лет),Текущая ЗП,ЗП год назад,Какая была первая ЗП в Европе,Какая по счету у вас сейчас работа в Европе,Основной язык на работе,Размер компании,Тип компании,Уровень,,,,,
15.12.2016 9:27:55,41,m,München,QA,3,10,58000,52500,48000,2,English,больше 100,Продуктовая,Senior,,,,,
15.12.2016 10:34:56,30,f,Berlin,Product manager,,10,65000,65000,65000,1,English,больше 100,Продуктовая,Middle,,,,,
15.12.2016 11:24:31,26,m,Unknown,"Consultant (Java, Android, SAP)",3,6,68000,55000,32000,2,English,больше 100,Другое,,,,,,
15.12.2016 12:12:03,31,m,Köln,QA,4,10,55000,45000,38000,1,Deutsch,50-100,Другое,Senior,,,,,
15.12.2016 12:45:45,28,m,Berlin,PHP Developer,1,10,60000,60000,60000,1,English,10-50,Продуктовая,Senior,,,,,
15.12.2016 22:26:55,27,m,München,Analyst,2,6,95000,70000,70000,2,English,больше 100,Продуктовая,Senior,,,,,
15.12.2016 22:51:01,34,f,München,Software Developer,2,6,55000,55000,38000,2,Deutsch,10-50,Продуктовая,Middle,,,,,
16.12.2016 11:23:49,34,m,München,Java / Data Lead Engineer,6,12,65000,63000,48000,1,English,больше 100,Продуктовая,Senior,,,,,
16.12.2016 12:18:37,32,m,München,iOS Developer,1.5,9,62000,42000,42000,2,English,до 10 сотрудников,Стартап,Senior,,,,,
16.12.2016 18:07:16,31,m,Berlin,Senior Java Developer,1,10,65000,65000,65000,1,English,больше 100,Продуктовая,Senior,,,,,
16.12.2016 21:42:22,33,f,München,iOS Developer,4,6,44000,44000,40000,1,English,50-100,Продуктовая,Middle,,,,,
16.12.2016 23:24:25,28,m,Berlin,Software Engineer,5,8,100000,60000,60000,3,English,10-50,Продуктовая,Middle,,,,,
17.12.2016 9:47:53,28,m,Karlsruhe,.Net Developer,2,7,49000,39000,39000,2,English,больше 100,Продуктовая,Middle,,,,,
17.12.2016 14:04:35,23,m,Berlin,C++ Developer,0,1,45000,45000,45000,1,English,10-50,Продуктовая,Junior,,,,,
17.12.2016 20:50:55,30,m,Berlin,Operations Engineer,3,10,73000,70000,56000,4,English,больше 100,Продуктовая,Middle,,,,,
17.12.2016 21:43:54,26,f,Berlin,Python Developer,2,3,42000,38000,12800,2,English,больше 100,Стартап,Middle,,,,,
18.12.2016 10:19:07,29,m,Unknown,C# Developer,2,7,38000,38000,38000,1,Deutsch,50-100,Продуктовая,Middle,,,,,
18.12.2016 11:36:30,22,m,München ,Java Developer ,1,5,60000,60000,60000,1,English,больше 100,Продуктовая,Senior,,,,,
18.12.2016 14:32:11,32,m,München,Software Quality Engineer,3,10,70000,65000,50000,2,Deutsch,больше 100,Продуктовая,Senior,,,,,
19.12.2016 11:47:06,32,m,München,Senior PHP Developer,2,9,62500,52000,52000,1,Deutsch,10-50,Агентство,Senior,,,,,
19.12.2016 14:57:53,30,m,München,QA Team Lead,1,7,64000,64000,64000,1,English,10-50,Стартап,Senior,,,,,
19.12.2016 18:19:23,29,m,Berlin,Java/Scala Developer,0,7,60000,60000,60000,1,English,больше 100,Продуктовая,Senior,,,,,
20.12.2016 0:49:30,41,m,München,Unknown,15,20,102000,95000,50000,2,English,больше 100,Другое,Senior,,,,,
20.12.2016 11:59:23,33,m,Berlin,Software Engineer Backend,0,10,65000,30000,65000,1,English,больше 100,Продуктовая,Middle,,,,,
20.12.2016 13:05:13,27,m,Berlin,php develpoer,3,7,65000,50000,36000,4,English,50-100,Продуктовая,Senior,,,,,
20.12.2016 16:27:31,33,m,München,Lead software engineer,2,10,60000,50000,50000,1,English,до 10 сотрудников,Стартап,Senior,,,,,
20.12.2016 17:42:00,26,m,Berlin,PHP Developer,1,6,48000,48000,48000,1,English,больше 100,Стартап,Middle,,,,,
20.12.2016 21:27:26,33,f,München,software engineer,1,10,60000,60000,60000,1,English,больше 100,Продуктовая,Middle,,,,,
20.12.2016 23:14:08,38,m,Berlin,DevOps Engineer,3,15,70000,70000,42000,,English,больше 100,Стартап,Senior,,,,,
21.12.2016 9:51:57,30,m,Berlin,Frontend Developer,1,4,65000,55000,55000,1,English,больше 100,Другое,Senior,,,,,
21.12.2016 14:10:02,34,m,Berlin,Frontend Developer,1,10,70000,58000,55000,3,English,больше 100,Продуктовая,Senior,,,,,
21.12.2016 17:58:50,29,f,Berlin,Frontend developer,0,6,48000,28500,48000,1,Deutsch,больше 100,Продуктовая,Middle,,,,,
21.12.2016 21:40:50,30,m,München,Php,3,10,80000,60000,380000,2,English,больше 100,Продуктовая,Junior,,,,,
21.12.2016 22:09:37,29,m,Köln,Frontend Developer,1,4,60000,45000,45000,2,Deutsch,10-50,Агентство,Middle,,,,,
21.12.2016 23:09:44,33,m,Berlin,Teamlead,4,12,66000,66000,42000,3,English,10-50,Стартап,Senior,,,,,
22.12.2016 11:05:21,28,m,Берлин,iOS Developer,0,3,50000,50000,50000,1,English,больше 100,Продуктовая,Senior,,,,,
22.12.2016 11:19:55,29,m,Berlin,Java Developer,1,9,60000,60000,60000,1,English,больше 100,Продуктовая,Senior,,,,,
22.12.2016 11:20:46,33,m,München,Java Developer,,10,64000,62000,41000,3,Deutsch,больше 100,Агентство,Senior,,,,,
22.12.2016 11:27:23,25,m,Berlin,PHP Developer,1,5,50000,50000,50000,1,English,10-50,Стартап,Senior,,,,,
22.12.2016 11:57:17,27,f,Hamburg,QA Engineer,2,5.5,56000,42000,42000,1,English,больше 100,Продуктовая,Middle,,,,,
22.12.2016 12:00:04,41,m,,C# Enginieer,14,22,87000,92000,42000,1,Deutsch,50-100,Продуктовая,Senior,,,,,
22.12.2016 12:01:42,34,m,Hamburg,C++ Programmer,4,10,60000,52500,48000,2,English,50-100,Продуктовая,Senior,,,,,
22.12.2016 12:09:09,33,f,München,Software Developer,8,12,76000,70000,45000,3,English,больше 100,Стартап,Senior,,,,,
22.12.2016 12:10:56,32,m,München,PHP developer (Magento),4,10,69000,65000,60000,1,English,10-50,Стартап,Senior,,,,,
22.12.2016 12:30:13,29,m,Berlin,PHP Developer,1,10,50000,45000,45000,1,English,больше 100,Продуктовая,Senior,,,,,
22.12.2016 12:50:14,29,m,Munich,iOS Developer,2,6,66000,60000,45000,2,English,50-100,Продуктовая,Senior,,,,,
22.12.2016 12:57:53,24,f,Munich,Junior BI Developer,1,2,40000,40000,40000,1,English,больше 100,Другое,Junior,,,,,
22.12.2016 13:35:43,45,m,Berlin,Java Developer,16,16,68000,67000,40000,1,Deutsch,больше 100,Другое,Senior,,,,,
22.12.2016 14:02:00,35,f,Berlin,Technical Project Manager,5,8,55000,35000,24000,2,English,до 10 сотрудников,Стартап,Senior,,,,,
22.12.2016 14:04:30,27,m,Köln,PHP developer,1,5,55000,29000,55000,1,English,больше 100,Продуктовая,Senior,,,,,
22.12.2016 14:10:52,27,f,Berlin,Sales,5,5,65000,50000,30000,2,Deutsch,больше 100,Продуктовая,Senior,,,,,
22.12.2016 14:12:29,27,f,Berlin,Sales,5,5,65000,50000,30000,2,Deutsch,больше 100,Продуктовая,Senior,,,,,
22.12.2016 14:25:34,43,m,München,Senior SW Developer C++ / C#,15,17,70000,,40000,,Deutsch,50-100,Продуктовая,Senior,,,,,
22.12.2016 14:27:16,35,f,Berlin ,Java Developer ,8,8,52500,51500,38000,3,Deutsch,больше 100,Другое,Middle,,,,,
22.12.2016 15:03:17,31,m,Munich,C++ Dveloper,1,8,50000,50000,50000,1,other,50-100,Продуктовая,Middle,,,,,
22.12.2016 15:43:33,32,m,Berlin,"Senior iOS Developer, Teamlead",1,11,54000,,,1,English,больше 100,Продуктовая,Senior,,,,,
22.12.2016 15:52:35,30,m,Köln,FrontEnd,3,3,34200,28800,24000,3,Deutsch,10-50,Агентство,Junior,,,,,
22.12.2016 17:39:17,26,m,Berlin,iOS Developer,1,5,50000,50000,50000,1,English,больше 100,Продуктовая,Middle,,,,,
22.12.2016 17:57:38,29,m,München,Software engineer ,1,6,65000,50000,65000,1,English,больше 100,Продуктовая,Senior,,,,,
22.12.2016 20:11:27,25,m,Berlin,Java Software Engenier,2,4,55000,48000,42000,1,English,50-100,Стартап,Senior,,,,,
22.12.2016 20:31:26,33,m,Munich,SWE,3,9,120000,105000,78000,1,English,больше 100,Продуктовая,Senior,,,,,
22.12.2016 21:41:12,33,m,,C Developer,1,12,73000,,,1,English,больше 100,Другое,Senior,,,,,
23.12.2016 10:37:30,31,m,Berlin,QA Engineer,4,8,80000,75000,48000,3,English,50-100,Стартап,Senior,,,,,
23.12.2016 12:11:05,30,m,München,Java Developer,2,10,80000,50000,50000,2,English,больше 100,Продуктовая,Senior,,,,,
24.12.2016 0:59:32,32,m,München,Senior Developer,2,10,60000,57000,55000,1,English,50-100,Стартап,Senior,,,,,
24.12.2016 16:12:12,31,m,Frankfurt ,Software architect,8,10,80000,76000,45000,4,Deutsch,больше 100,Продуктовая,Senior,,,,,
25.12.2016 14:31:59,32,m,Berlin,Frontend Engineer,0,10,60000,60000,60000,1,English,больше 100,Продуктовая,Senior,,,,,
25.12.2016 16:23:41,29,m,Berlin,Teamlead,2,8,55000,50000,50000,1,English,больше 100,Стартап,Senior,,,,,
27.12.2016 18:04:50,33,m,Berlin,PHP Team Lead,1,8,65000,60000,55000,2,English,10-50,Стартап,Senior,,,,,
29.12.2016 15:20:13,40,m,Berlin,QA Automation,3,14,62000,62000,57000,2,English,больше 100,Продуктовая,Senior,,,,,
30.12.2016 15:38:19,37,m,Frankfurt,Business Process Architect,11,15,100000,97000,55000,2,English,больше 100,Продуктовая,Senior,,,,,
30.12.2016 21:46:28,28,m,Munich,Team Lead,4,10,82000,75000,50000,2,English,больше 100,Продуктовая,Senior,,,,,
03.01.2017 15:07:06,31,f,Stuttgart,Engineer,1,5,50004,,,1,Deutsch,10-50,Продуктовая,Middle,,,,,
04.01.2017 13:19:21,35,m,Berlin,DevOps,2,15,40800,40800,40800,1,other,до 10 сотрудников,Другое,Senior,,,,,
04.01.2017 14:59:54,35,m,Berlin,Lead Developer,4,15,75000,75000,54000,1,English,10-50,Продуктовая,Senior,,,,,
04.01.2017 20:20:48,30,m,Frankfurt,Senior Backend Engineer,1,10,80000,75000,75000,2,English,10-50,Стартап,Senior,,,,,
05.01.2017 16:58:40,35,m,,Teamlead,8,11,82000,80000,78000,1,English,больше 100,Продуктовая,Senior,,,,,
18.01.2017 22:58:34,38,f,Berlin,Manual QA,2,5,36000,30000,27000,1,English,50-100,Продуктовая,Middle,,,,,
22.01.2017 20:38:00,25,m,,Teamlead,1,3,45000,39000,39000,2,English,10-50,Аутсорс (ну а вдруг),Middle,,,,,
24.01.2017 12:27:04,33,m,Berlin,php-developer,2,9,48000,48000,48000,1,English,больше 100,Стартап,Middle,,,,,
25.01.2017 14:27:08,31,m,Munchen,Software Ingenieur (PHP Magento developer),0,6,55200,24000,55200,1,English,больше 100,Продуктовая,Middle,,,,,
26.01.2017 16:44:26,31,m,Berlin,Product Owner,2,6,60000,55000,54000,2,English,больше 100,Продуктовая,Middle,,,,,
30.01.2017 18:03:54,26,m,Берлин,Senior DevOps Engineer,2.5,6,60000,48000,42000,2,English,10-50,Стартап,Senior,,,,,
10.02.2017 23:15:47,29,m,Berlin,Senior Software Developer,1.5,7,60000,50000,50000,1,English,больше 100,Продуктовая,Senior,,,,,
12.02.2017 0:30:44,34,m,Мюнхен,C++ developer,0,11,56000,56000,56000,1,English,больше 100,Продуктовая,Senior,,,,,
13.02.2017 13:57:24,31,m,Munich,Tools developer,3,6,50000,,42000,1,English,больше 100,Продуктовая,Junior,,,,,
14.02.2017 17:11:34,35,m,Berlin,Senior Software Engineer,3,15,63000,63000,54000,1,English,больше 100,Продуктовая,Senior,,,,,
19.02.2017 17:34:19,30,m,Stuttgart ,Team lead ,2,13,60000,50000,50000,1,English,больше 100,Продуктовая,Senior,,,,,
19.02.2017 23:40:59,30,f,Munchen,Java Developer,0,7,45000,45000,45000,1,English,10-50,Аутсорс (ну а вдруг),Middle,,,,,
19.02.2017 23:41:21,29,m,München,Business Analyst,,,51500,51500,51500,1,English,10-50,Аутсорс (ну а вдруг),Senior,,,,,
24.02.2017 23:46:28,30,m,Munich,Project Manager,,6,26000,,26000,1,English,до 10 сотрудников,Стартап,Middle,,,,,
28.02.2017 13:24:06,30,m,Berlin,Software Engineer,3,8,52000,50000,37500,2,English,больше 100,Продуктовая,Middle,,,,,
28.02.2017 16:05:16,33,f,Köln,Java Developer,5,10,62000,60000,36000,1,Deutsch,50-100,Другое,Junior,,,,,
03.03.2017 14:42:17,33,f,Berlin,Java Developer (Android),2,9,23000,23000,12000,2,Deutsch,10-50,Агентство,Junior,,,,,
06.03.2017 20:28:42,28,m,München,system engineer,0,9,60000,,,1,English,больше 100,Продуктовая,Middle,,,,,
15.03.2017 8:13:28,30,m,Berlin,Software engineer,3,8,60000,55000,45000,2,English,50-100,Стартап,Senior,,,,,
16.03.2017 14:19:54,27,f,Berlin,Android Developer,3,8,67650,57200,50000,3,English,больше 100,Продуктовая,Middle,,,,,
16.03.2017 14:34:15,30,m,Berlin,.Net Developer,3,6,52000,52000,47000,1,English,больше 100,Продуктовая,Senior,,,,,
18.03.2017 19:43:36,31,m,Munich,PHP developer Magento,0,5,55000,24000,55000,1,English,больше 100,Стартап,Middle,,,,,
24.03.2017 11:50:32,,,,,,,,,,,,,,,,,,,
30.03.2017 12:53:32,35,m,Berlin,Frontend Developer,1,14,55000,50000,50000,1,English,больше 100,Продуктовая,Senior,,,,,
01.04.2017 12:27:12,27,m,München,Android Developer,3,6,58000,42500,38500,2,English,больше 100,Продуктовая,Middle,,,,,
03.04.2017 14:29:44,24,m,Berlin,Javascript Developer,1,1.5,42000,42000,42000,1,English,больше 100,Продуктовая,Junior,,,,,
08.04.2017 22:26:00,35,m,Мюнхен,Senior Java Developer,2,15,90000,80000,80000,2,English,10-50,Стартап,Senior,,,,,
12.04.2017 12:21:51,39,m,Berlin,IT Manager,1,17,,,90000,1,English,больше 100,Другое,Senior,,,,,
16.04.2017 23:41:17,34,m,Munich,Oracle DBA,1,12,65000,60000,60000,1,English,больше 100,Другое,Middle,,,,,
18.04.2017 13:39:06,28,m,Berlin,DevOps team lead,1.5,7,60000,55000,50000,2,English,50-100,Стартап,Senior,,,,,
19.04.2017 0:05:47,36,f,Berlin,Java,3,14,55000,54000,54000,1,English,больше 100,Стартап,Senior,,,,,
19.04.2017 9:41:25,28,m,Hamburg,PHP Developer,4,8,55000,45000,38000,2,English,больше 100,Продуктовая,Middle,,,,,
20.04.2017 9:30:05,23,m,München,QA Engineer,0,3.5,55000,,55000,1,English,больше 100,Продуктовая,Middle,,,,,
21.04.2017 5:04:23,34,m,,Java Developer,3,9,55000,53000,43000,2,Deutsch,50-100,Продуктовая,Senior,,,,,
24.04.2017 10:58:40,31,m,Berlin,Lead Developer,3,8,65000,60000,48000,5,Deutsch,,Стартап,Senior,,,,,
05.05.2017 10:13:48,26,m,Berlin,front-end developer,"0,5",6,50000,,50000,1,English,10-50,Продуктовая,Senior,,,,,
14.05.2017 20:51:55,32,m,Berlin,Front-End,2,8,58000,53000,50000,2,English,50-100,Продуктовая,Senior,,,,,
16.05.2017 11:03:01,28,m,Berlin,,,10,62000,55000,,,,50-100,Стартап,Senior,,,,,
17.05.2017 10:31:29,,,,,,,,,,,,,,,,,,,
18.05.2017 11:10:56,,,,,,,,,,,,,,,,,,,
18.05.2017 17:39:59,31,m,Berlin,"Country Manager, Operations Manager, Project Manager",2,10,40000,30000,30000,1,English,50-100,Продуктовая,Senior,,,,,
01.06.2017 17:02:34,33,m,Frankfurt,IT Business Analyst,0,12,70000,0,70000,1,English,больше 100,Другое,Middle,,,,,
20.06.2017 15:35:36,33,m,Berlin,php developer,2.5,8,54000,48000,48000,1,English,больше 100,Продуктовая,Senior,,,,,
01.07.2017 12:46:19,32,m,Munich,Android developer,1,4,60450,57850,57850,1,English,больше 100,Продуктовая,Senior,,,,,
18.07.2017 20:23:09,33,f,berlin,teamlead,1,10,65000,65000,65000,1,English,10-50,Стартап,Senior,,,,,
18.07.2017 22:00:42,33,f,Braunschweig,Python Developer,2,5,50000,43000,42000,1,Deutsch,больше 100,Аутсорс (ну а вдруг),Middle,,,,,
19.07.2017 16:06:18,31,m,Berlin,Android Developer,"2,5",7,63000,60000,48500,2,English,10-50,Продуктовая,Senior,,,,,
21.07.2017 11:05:24,33,m,Munich,iOS developer,3,6,65000,65000,42000,3,English,больше 100,Продуктовая,Middle,,,,,
31.07.2017 17:34:04,28,f,Berlin,QA Engineer,,2,50000,42000,39000,1,English,больше 100,Стартап,Senior,,,,,
04.08.2017 23:22:19,24,m,Mюнхен,Software Developer,0,2,40000,,40000,1,Deutsch,10-50,Продуктовая,Junior,,,,,
17.08.2017 21:15:53,26,m,Munchen,Product Manager,0,4,45000,0,43000,1,English,больше 100,Продуктовая,Junior,,,,,
28.09.2017 17:40:10,33,m,,.Net Developer,2,5,45000,45000,45000,1,Deutsch,10-50,Аутсорс (ну а вдруг),Middle,,,,,
12.10.2017 19:36:59,28,m,,Android Developer,1,6,66000,30000,66000,1,English,больше 100,Продуктовая,Senior,,,,,
17.10.2017 11:25:56,32,m,Berlin,Front-end developer,2,8,60000,58000,50500,2,English,50-100,Продуктовая,Senior,,,,,
09.11.2017 16:34:13,29,m,Дармштадт,Java Developer,1,8,62,,62,1,English,50-100,Аутсорс (ну а вдруг),Senior,,,,,
10.11.2017 16:16:51,26,m,Lörrach,Automatisierungsingenieur,0,2,50000,,50000,1,Deutsch,50-100,Агентство,Junior,,,,,
17.11.2017 16:50:59,31,m,Berlin,Data Engineer,2,,65000,,,,English,больше 100,Продуктовая,Middle,,,,,
05.12.2017 12:00:25,31,f,Berlin,Test Analyst,1,2,30000,27500,27500,1,English,больше 100,Продуктовая,Middle,,,,,
06.12.2017 7:48:14,34,m,München,Full Stack E2E,4,4,75000,60000,32000,3,English,10-50,Другое,Senior,,,,,
06.12.2017 14:22:07,,,,,,,,,,,,,,,,,,,
20.12.2017 16:46:04,32,m,München,Senior iOS Developer,4,10,76000,76000,56000,2,English,50-100,Продуктовая,Senior,,,,,
21.12.2017 21:00:30,,,,,,,,,,,,,,,,,,,
24.12.2017 20:20:15,,f,,QA,0,6,44000,,,1,English,больше 100,Другое,Senior,,,,,
22.01.2018 15:12:31,,,,,,,,,,,,,,,,,,,
23.01.2018 15:48:39,33,m,Amsterdam,CTO,3,12,84000,78000,56000,1,English,до 10 сотрудников,Стартап,Senior,,,,,
05.02.2018 0:16:12,,m,München,IT Consultant,1,5,55000,,,,Deutsch,больше 100,Другое,Junior,,,,,
15.03.2018 19:48:44,27,m,Berlin,Javascript Developer,1,7,57500,55000,55000,1,English,больше 100,Продуктовая,Senior,,,,,
01.05.2018 12:16:47,30,m,Münchwn,Android Developer,3,3,50000,45000,37000,,English,больше 100,Продуктовая,Junior,,,,,
11.05.2018 21:43:19,31,m,Мюнхен,PHP Backend Developer,0,8,65000,,65000,1,English,10-50,Продуктовая,Senior,,,,,
15.05.2018 23:55:25,41,m,München ,Service Manager,10,20,80000,80000,54000,2,Deutsch,больше 100,Продуктовая,Middle,,,,,
16.05.2018 22:29:16,34,m,,Software Architect ,6,6,65000,65000,36000,2,Deutsch,до 10 сотрудников,Стартап,Middle,,,,,
03.06.2018 11:31:58,30,m,Мюнхен,Senior .net Developer ,0,8,60000,30000,60000,1,English,больше 100,Продуктовая,Senior,,,,,
20.06.2018 23:47:24,,m,Мюнхен,Software engineer,4,10,70000,65000,60000,3,English,больше 100,Другое,Senior,,,,,
29.07.2018 15:54:50,,,,,,,,,,,,,,,,,,,
10.08.2018 22:13:12,,,,,,,,,,,,,,,,,,,
14.09.2018 22:55:33,35,m,Karlsruhe,bigdata developer,2,12,69000,65000,65000,2,English,больше 100,Другое,Senior,,,,,
26.10.2018 12:05:20,,m,München,QA,10,10,65000,62500,45000,2,Deutsch,50-100,Продуктовая,Senior,,,,,
26.11.2018 23:52:06,30,f,Köln,Data Alanyst,2,5,70000,62000,55000,2,English,больше 100,Другое,Middle,,,,,
12.02.2019 12:39:33,,,,,,,,,,,,,,,,,,,
23.02.2019 11:34:30,,m,Berlin,TL / Sr.DevOps,3,20,75000,70000,60000,2,English,больше 100,Стартап,Senior,,,,,
28.02.2019 15:07:57,,,,,,,,,,,,,,,,,,,
29.05.2019 13:32:07,28,m,Munich,Frontend Engineer,5,5,70000,45300,39000,7,English,больше 100,Другое,Middle,,,,,
23.06.2019 18:13:14,38,m,Munich,s/w engineer,12,19,120000,117000,75000,1,English,больше 100,Продуктовая,Senior,,,,,
09.07.2019 12:45:07,,m,,software engineer,0,15,75000,,,1,English,50-100,Продуктовая,Senior,,,,,
08.08.2019 21:14:28,,m,,,1,,90000,60000,60000,1,English,больше 100,Продуктовая,Junior,,,,,
08.10.2019 15:14:11,31,f,"Erlangen, Nürnberg","Frontend-Developer (TypeScript, Java, CSS, HTML)",5,6,55000,52000,10000 (работа на полставки при университете),3,Deutsch,больше 100,Другое,Middle,,,,,
08.10.2019 15:20:16,32,m,Erlangen,Principal Software Engineer,8,10,78000,70000,40000,4,Deutsch,больше 100,Продуктовая,Senior,,,,,
29.11.2019 14:28:03,40,m,,Teamlead,15,20,60000,50000,40000,5,Deutsch,больше 100,Другое,Senior,,,,,
03.12.2019 22:27:28,32,m,Glasgow,Software Engineer,3,9,88000,76000,64500,3,English,больше 100,Продуктовая,Senior,,,,,
29.12.2019 17:28:29,33,m,Rosenheim,Magento Developer,"0,5",4,65000,65000,65000,1,Deutsch,50-100,Агентство,Senior,,,,,
05.01.2020 22:43:55,32,m,Франкфурт ,Java Developer,4,10,61000,50000,40000,3,Deutsch,больше 100,Агентство,Middle,,,,,
10.05.2020 16:26:12,34,m,munich,c++ developer,3,11,74000,72000,55000,2,English,больше 100,Аутсорс (ну а вдруг),Senior,,,,,
31.08.2021 23:14:46,,,,,,,,,,,,,,,,,,,
08.07.2022 1:40:04,30,m,,java,5,5,,50000,40000,1,Deutsch,до 10 сотрудников,Стартап,Middle,,,,,
